case_title,case_title_raw,normalized_title,source_pdf,source_school,source_year,page_start,page_end,page_count,industry,case_type,case_type_raw,case_type_normalized,difficulty,difficulty_raw,difficulty_normalized,difficulty_quant,difficulty_qual,difficulty_math,difficulty_structure,difficulty_creativity,concepts_tested,difficulty_visual_present,difficulty_quant_category,firm,round,interviewer_led,is_new_case,is_duplicate_case,unique_case_count_eligible,canonical_case_title,duplicate_of_source_school,duplicate_of_source_year,duplicate_of_case_title,detection_method,extraction_confidence,needs_manual_review,output_pdf_path,difficulty_score,difficulty_rating,difficulty_rating_source,difficulty_notes,difficulty_source,difficulty_confidence,difficulty_model,industry_secondary,industry_notes,industry_source,industry_confidence,industry_model
Ice Cream Co.,Ice Cream Co.,ice cream co,Yale/Columbia 2017.pdf,Columbia,2017.0,98,103,6,Retail / CPG,Profitability,Profitability,Profitability,,,Medium,,,,,,,,,,,,False,False,True,ice cream co,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\ice-cream-co.pdf,5.3,,none,"Vague, root-cause-focused profitability prompt with a new business-model competitor creates moderate ambiguity and qualitative reasoning, but the math is light and straightforward. Overall similar to standard medium-round cases, slightly easier quantitatively but trickier on insight, so low–mid Medium feels appropriate.",openai_calibrated,0.86,gpt-5.1,,,,,
Life Insurance Merger,Life Insurance Merger,life insurance merger,Yale/Columbia 2017.pdf,Columbia,2017.0,104,109,6,Insurance,M&A,M&A,M&A,,,Easy,,,,,,,,,,,,False,False,True,life insurance merger,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\life-insurance-merger.pdf,3.2,,none,"Very straightforward M&A/strategy choice case with clearly laid-out options, simple pros/cons discussion, and light, single-step revenue math. Low ambiguity, minimal synthesis, and explicitly labeled as easy in the case notes, making it comparable to Zephyr Beverages or Seven Flags rather than the Medium calibration cases.",openai_calibrated,0.93,gpt-5.1,,,,,
Lubricant Manufacturer,Lubricant Manufacturer,lubricant manufacturer,Yale/Columbia 2017.pdf,Columbia,2017.0,110,115,6,Manufacturing,Profitability,Profitability,Profitability,,,Medium,,,,,,,,,,,,False,False,True,lubricant manufacturer,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\lubricant-manufacturer.pdf,5.3,,none,"Moderate ambiguity around growth levers but guided strongly by interviewer notes; math is standard breakeven / revenue analysis with limited complexity and few exhibits. Overall similar to other mid-level profitability/growth cases like Traditional Toy Maker, not as dense or multi-step as the Hard anchors.",openai_calibrated,0.86,gpt-5.1,,,,,
Oil and Gas Acquisition,Oil and Gas Acquisition,oil and gas acquisition,Yale/Columbia 2017.pdf,Columbia,2017.0,116,120,5,Energy & Utilities,M&A,M&A,M&A,,,Medium,,,,,,,,,,,,False,False,True,oil and gas acquisition,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\oil-and-gas-acquisition.pdf,5.3,,none,"Moderate ambiguity around M&A recommendation with emphasis on brainstorming strategic/fit considerations, but the math is simple (single EBIT multiple and share-price comparison) and exhibits are not complex. Overall similar to other standard, structured M&A cases labeled Medium, with limited data but not a heavy synthesis or quant burden.",openai_calibrated,0.86,gpt-5.1,,,,,
Outsourced School Food Service,Outsourced School Food Service,outsourced school food service,Yale/Columbia 2017.pdf,Columbia,2017.0,121,125,5,Private Equity,Investment,Investment,Investment Decision,,,Medium,,,,,,,,,,,,False,False,True,outsourced school food service,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\outsourced-school-food-service.pdf,5.8,,none,"Market-sizing heavy with multi-step mental math and some PE-specific investment considerations, but low exhibit complexity and relatively clear, narrow prompt keep it around a standard, slightly above-average prep case rather than a hard one.",openai_calibrated,0.86,gpt-5.1,,,,,
Personal Care Company,Personal Care Company,personal care company,Yale/Columbia 2017.pdf,Columbia,2017.0,126,130,5,Retail / CPG,Market Entry,Market Entry,Market Entry,,,Easy,,,,,,,,,,,,False,False,True,personal care company,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\personal-care-company.pdf,3.8,,none,"Straightforward, interviewer-led market entry with basic China toothbrush market sizing and simple profitability reasoning; low ambiguity, light math, and limited synthesis make it comparable to other Easy anchors like Zephyr Beverages rather than the more multi-layered Medium cases.",openai_calibrated,0.9,gpt-5.1,,,,,
Pharma Co.,Pharma Co.,pharma co,Yale/Columbia 2017.pdf,Columbia,2017.0,131,136,6,Pharmaceuticals,Market Entry,Market Entry,Market Entry,,,Medium,,,,,,,,,,,,False,False,True,pharma co,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\pharma-co.pdf,6.0,,none,"Open-ended, highly ambiguous market entry in a regulated pharma niche with explicit market sizing and multi-step incidence → diagnosis → treatment → pricing math. Limited exhibits and no detailed cost data keep it from Hard, but the ambiguity and quant are clearly above Easy and in line with a solid, realistic MBB-style case.",openai_calibrated,0.86,gpt-5.1,,,,,
Population Health Management,Population Health Management,population health management,Yale/Columbia 2017.pdf,Columbia,2017.0,137,141,5,Healthcare,Market Sizing,Market Sizing,Market Sizing,,,Easy,,,,,,,,,,,,False,False,True,population health management,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\population-health-management.pdf,3.5,,none,"Single-question, pure market sizing with guided structure, simple segmentation, and straightforward arithmetic; low ambiguity and low synthesis burden, comparable to other Easy anchors like Zephyr Beverages and Breast Cancer Surgery.",openai_calibrated,0.93,gpt-5.1,,,,,
Portable Sanitation,Portable Sanitation,portable sanitation,Yale/Columbia 2017.pdf,Columbia,2017.0,142,147,6,Other,Revenue,Revenue,Profitability,,,Easy,,,,,,,,,,,,False,False,True,portable sanitation,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\portable-sanitation.pdf,3.8,,none,"Clear, narrow objective (grow US revenue), simple business model, and explicitly labeled as easy on structure/creativity/math. Quant is light (basic price–volume elasticity and revenue math) with one straightforward exhibit and limited synthesis burden, making it comparable to other Easy anchors but slightly richer than the simplest ones.",openai_calibrated,0.9,gpt-5.1,,,,,
Pre-K Education,Pre-K Education,pre k education,Yale/Columbia 2017.pdf,Columbia,2017.0,148,156,9,Education,Growth,Growth,Growth Strategy,,,Hard,,,,,,,,,,,,False,False,True,pre k education,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\pre-k-education.pdf,7.6,,none,"This case is quantitatively heavy (market sizing of eligible children, capacity gap, funding needs, tax base math) and conceptually unorthodox with a non-profit/government model and no revenue, requiring candidates to adapt a framework and reason through tradeoffs and campaign strategy. Ambiguity around defining “need,” integrating policy/operational considerations, and answering three distinct but linked questions makes it more complex than standard Medium cases, though still somewhat below the most data-dense Hard anchors.",openai_calibrated,0.79,gpt-5.1,,,,,
Rock Band,Rock Band,rock band,Yale/Columbia 2017.pdf,Columbia,2017.0,157,164,8,Media & Entertainment,Revenue,Revenue,Profitability,,,Medium,,,,,,,,,,,,False,False,True,rock band,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\rock-band.pdf,6.0,,none,"Multi-step tour economics with different deal structures (guarantee vs % of net vs % of gross), varying venue sizes, prices, and attendance assumptions creates a meaningful math and reasoning burden, but within a contained, single-exhibit style setup. Stakeholder-goal nuance (manager vs band) adds qualitative complexity, yet overall still feels like a solid but standard MBB-style case rather than an especially dense or ambiguous one.",openai_calibrated,0.86,gpt-5.1,,,,,
Soda Ash Producer,Soda Ash Producer,soda ash producer,Yale/Columbia 2017.pdf,Columbia,2017.0,165,173,9,Private Equity,M&A,M&A,M&A,,,Medium,,,,,,,,,,,,False,False,True,soda ash producer,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\soda-ash-producer.pdf,5.6,,none,"Balanced PE/M&A growth case with standard EBITDA target, some supply–demand and market-structure reasoning, and light but non-trivial math (volumes, prices, shipping costs). Ambiguity and synthesis are comparable to other Columbia PE cases like Traditional Toy Maker, so it sits in the middle of the Medium range, not approaching the complexity of the Hard anchors.",openai_calibrated,0.86,gpt-5.1,,,,,
Tristar Home Appliances,Tristar Home Appliances,tristar home appliances,Yale/Columbia 2017.pdf,Columbia,2017.0,174,183,10,Manufacturing,Market,Market,Other,,,Medium,,,,,,,,,,,,False,False,True,tristar home appliances,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\tristar-home-appliances.pdf,5.6,,none,"This is a fairly standard, data-heavy market expansion / sizing case with multiple charts and moderate math, but the prompt is clear and the structure is straightforward, similar in burden to other Medium anchors like Megabank and Traditional Toy Maker. The main challenge is digesting exhibits and doing market sizing rather than complex ambiguity or synthesis.",openai_calibrated,0.86,gpt-5.1,,,,,
Veratech,Veratech,veratech,Yale/Columbia 2017.pdf,Columbia,2017.0,184,190,7,Technology,Profitability,Profitability,Profitability,,,Easy,,,,,,,,,,,,False,False,True,veratech,,,,manual_override_columbia_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2017\veratech.pdf,3.2,,none,"Light math, clear prompt, and guided competitive/market analysis with sample framework and suggested recommendations make this a beginner-friendly, low-ambiguity case, similar to Zephyr Beverages and other Easy anchors.",openai_calibrated,0.93,gpt-5.1,,,,,
Ban the Box,Ban the Box,ban the box,Yale/Columbia 2021.pdf,Columbia,2021.0,21,28,8,Public Sector,Impact Analysis,Impact Analysis,Public Sector / Nonprofit,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,ban the box,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\ban-the-box.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Cheers,Cheers,cheers,Yale/Columbia 2021.pdf,Columbia,2021.0,29,35,7,Retail / CPG,Profitability,Profitability,Profitability,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,cheers,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\cheers.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Combating Climate Change,Combating Climate Change,combating climate change,Yale/Columbia 2021.pdf,Columbia,2021.0,36,43,8,Public Sector,Strategy Formulation,Strategy Formulation,Strategy,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,combating climate change,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\combating-climate-change.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Co-V(id)accinated,Co-V(id)accinated,co v id accinated,Yale/Columbia 2021.pdf,Columbia,2021.0,44,58,15,Public Sector,Optimization,Optimization,Operations,Very Hard,Very Hard,Hard,,,,,,,,,,,,False,False,True,co v id accinated,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\co-v-id-accinated.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Dam Dam Dam,Dam Dam Dam,dam dam dam,Yale/Columbia 2021.pdf,Columbia,2021.0,59,66,8,Energy & Utilities,Impact Analysis,Impact Analysis,Other,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,dam dam dam,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\dam-dam-dam.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Dizzy Fruits,Dizzy Fruits,dizzy fruits,Yale/Columbia 2021.pdf,Columbia,2021.0,67,75,9,Retail / CPG,Market Entry,Market Entry,Market Entry,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,dizzy fruits,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\dizzy-fruits.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Dust Cloud,Dust Cloud,dust cloud,Yale/Columbia 2021.pdf,Columbia,2021.0,76,83,8,Agriculture,Profitability,Profitability,Profitability,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,dust cloud,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\dust-cloud.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Echo Yankee Game,Echo Yankee Game,echo yankee game,Yale/Columbia 2021.pdf,Columbia,2021.0,84,89,6,Technology,Profitability,Profitability,Profitability,Easy,Easy,Easy,,,,,,,,,,,,False,False,True,echo yankee game,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\echo-yankee-game.pdf,3.5,Easy,difficulty_normalized,,,,,,,,,
EduCo,EduCo,educo,Yale/Columbia 2021.pdf,Columbia,2021.0,90,99,10,Technology,Growth Strategy,Growth Strategy,Growth Strategy,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,educo,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\educo.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Explorer Bank,Explorer Bank,explorer bank,Yale/Columbia 2021.pdf,Columbia,2021.0,100,107,8,Financial Services,Profitability,Profitability,Profitability,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,explorer bank,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\explorer-bank.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Fintech Startup,Fintech Startup,fintech startup,Yale/Columbia 2021.pdf,Columbia,2021.0,108,119,12,Financial Services,Opportunity Assessment,Opportunity Assessment,Opportunity Assessment,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,fintech startup,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\fintech-startup.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Funeral Homes,Funeral Homes,funeral homes,Yale/Columbia 2021.pdf,Columbia,2021.0,120,128,9,Other,Profitability,Profitability,Profitability,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,funeral homes,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\funeral-homes.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Grocer Prepared Foods,Grocer Prepared Foods,grocer prepared foods,Yale/Columbia 2021.pdf,Columbia,2021.0,129,136,8,Retail / CPG,Profitability,Profitability,Profitability,Easy,Easy,Easy,,,,,,,,,,,,False,False,True,grocer prepared foods,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\grocer-prepared-foods.pdf,3.5,Easy,difficulty_normalized,,,,,,,,,
Housing Authority Goes Green,Housing Authority Goes Green,housing authority goes green,Yale/Columbia 2021.pdf,Columbia,2021.0,137,146,10,Public Sector,Investment,Investment,Investment Decision,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,housing authority goes green,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\housing-authority-goes-green.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Insta-Famous,Insta-Famous,insta famous,Yale/Columbia 2021.pdf,Columbia,2021.0,147,154,8,Technology,New Product,New Product,New Product,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,insta famous,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\insta-famous.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
MTA Subway,MTA Subway,mta subway,Yale/Columbia 2021.pdf,Columbia,2021.0,155,160,6,Transportation & Logistics,Profitability,Profitability,Profitability,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,mta subway,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\mta-subway.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
NeuroNow,NeuroNow,neuronow,Yale/Columbia 2021.pdf,Columbia,2021.0,161,169,9,Pharmaceuticals,Market Entry,Market Entry,Market Entry,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,neuronow,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\neuronow.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Optic-Eye,Optic-Eye,optic eye,Yale/Columbia 2021.pdf,Columbia,2021.0,170,178,9,Technology,Market Entry,Market Entry,Market Entry,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,optic eye,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\optic-eye.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Packaging Cost Reduction,Packaging Cost Reduction,packaging cost reduction,Yale/Columbia 2021.pdf,Columbia,2021.0,179,184,6,Manufacturing,Cost Reduction,Cost Reduction,Cost Reduction,Easy,Easy,Easy,,,,,,,,,,,,False,False,True,packaging cost reduction,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\packaging-cost-reduction.pdf,3.5,Easy,difficulty_normalized,,,,,,,,,
PanDan Diplomacy,PanDan Diplomacy,pandan diplomacy,Yale/Columbia 2021.pdf,Columbia,2021.0,185,193,9,Public Sector,Strategy Formulation,Strategy Formulation,Strategy,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,pandan diplomacy,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\pandan-diplomacy.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
"Pay Me My Money, In Cash","Pay Me My Money, In Cash",pay me my money in cash,Yale/Columbia 2021.pdf,Columbia,2021.0,194,200,7,Education,Strategy Formulation,Strategy Formulation,Strategy,Very Hard,Very Hard,Hard,,,,,,,,,,,,False,False,True,pay me my money in cash,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\pay-me-my-money-in-cash.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Race to 270,Race to 270,race to 270,Yale/Columbia 2021.pdf,Columbia,2021.0,201,211,11,Public Sector,Asset Optimization,Asset Optimization,Operations,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,race to 270,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\race-to-270.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
SeaBag Marina,SeaBag Marina,seabag marina,Yale/Columbia 2021.pdf,Columbia,2021.0,212,219,8,Other,Profitability,Profitability,Profitability,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,seabag marina,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\seabag-marina.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Sparkle Co.,Sparkle Co.,sparkle co,Yale/Columbia 2021.pdf,Columbia,2021.0,220,229,10,Retail / CPG,Profitability,Profitability,Profitability,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,sparkle co,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\sparkle-co.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
ST Boat Sale,ST Boat Sale,st boat sale,Yale/Columbia 2021.pdf,Columbia,2021.0,230,235,6,Transportation & Logistics,Opportunity Assessment,Opportunity Assessment,Opportunity Assessment,Easy,Easy,Easy,,,,,,,,,,,,False,False,True,st boat sale,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\st-boat-sale.pdf,3.5,Easy,difficulty_normalized,,,,,,,,,
The Greatest Show on Earth,The Greatest Show on Earth,the greatest show on earth,Yale/Columbia 2021.pdf,Columbia,2021.0,236,243,8,Non-Profit,Other,Other,Public Sector / Nonprofit,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,the greatest show on earth,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\the-greatest-show-on-earth.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
The Home of Gnome,The Home of Gnome,the home of gnome,Yale/Columbia 2021.pdf,Columbia,2021.0,244,252,9,Media & Entertainment,Competitor Analysis,Competitor Analysis,Competitive Response,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,the home of gnome,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\the-home-of-gnome.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Timeless Watches,Timeless Watches,timeless watches,Yale/Columbia 2021.pdf,Columbia,2021.0,253,260,8,Technology,Market Entry,Market Entry,Market Entry,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,timeless watches,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\timeless-watches.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
TriBeCa Branding,TriBeCa Branding,tribeca branding,Yale/Columbia 2021.pdf,Columbia,2021.0,261,268,8,Professional Services,Market Entry,Market Entry,Market Entry,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,tribeca branding,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\tribeca-branding.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Lion King Bank,Lion King Bank,lion king bank,Yale/Columbia 2021.pdf,Columbia,2021.0,284,290,7,Financial Services,Market Sizing,Market Sizing,Market Sizing,Easy,Easy,Easy,,,,,,,,,,,,False,False,True,lion king bank,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\lion-king-bank.pdf,3.5,Easy,difficulty_normalized,,,,,,,,,
Madecasse,Madecasse,madecasse,Yale/Columbia 2021.pdf,Columbia,2021.0,291,298,8,Non-Profit,Market Entry,Market Entry,Market Entry,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,madecasse,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\madecasse.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Swedish Death Metal,Swedish Death Metal,swedish death metal,Yale/Columbia 2021.pdf,Columbia,2021.0,306,312,7,Media & Entertainment,Market Entry,Market Entry,Market Entry,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,swedish death metal,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\swedish-death-metal.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Timber Crisis,Timber Crisis,timber crisis,Yale/Columbia 2021.pdf,Columbia,2021.0,313,317,5,Manufacturing,Turnaround,Turnaround,Profitability,Very Hard,Very Hard,Hard,,,,,,,,,,,,False,False,True,timber crisis,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\timber-crisis.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Traditional Toy Maker,Traditional Toy Maker,traditional toy maker,Yale/Columbia 2021.pdf,Columbia,2021.0,318,324,7,Private Equity,Opportunity Assessment,Opportunity Assessment,Opportunity Assessment,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,traditional toy maker,,,,manual_override_columbia_2021,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Columbia 2021\traditional-toy-maker.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Bank Savings for Savings Bank CIO,Bank Savings for Savings Bank CIO,bank savings for savings bank cio,Yale/Darden 2017.pdf,Darden,2017.0,35,42,8,Financial Services,Cost Reduction,Cost Reduction,Cost Reduction,2,2,Medium,,,,,,,,,McKinsey,2,,False,False,True,bank savings for savings bank cio,,,,manual_override_darden_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Darden 2017\bank-savings-for-savings-bank-cio.pdf,5.5,Medium,difficulty_scale_1_3,,,,,,"The client is a domestic bank, so the primary industry is Financial Services.",openai_calibrated,0.99,gpt-5.4
To Automate or not?,To Automate or not?,to automate or not,Yale/Darden 2017.pdf,Darden,2017.0,43,53,11,Retail / CPG,Operations,Operations,Operations,3,3,Hard,,,,,,,,,BCG,2,,False,False,True,to automate or not,,,,manual_override_darden_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Darden 2017\to-automate-or-not.pdf,8.0,Hard,difficulty_scale_1_3,,,,,,,,,
Broche Laboratories,Broche Laboratories,broche laboratories,Yale/Darden 2017.pdf,Darden,2017.0,54,63,10,Healthcare,Growth,Growth,Growth Strategy,3,3,Hard,,,,,,,,,Bain,2,,False,False,True,broche laboratories,,,,manual_override_darden_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Darden 2017\broche-laboratories.pdf,8.0,Hard,difficulty_scale_1_3,,,,,,,,,
CEO of Your Favorite Company,CEO of Your Favorite Company,ceo of your favorite company,Yale/Darden 2017.pdf,Darden,2017.0,64,66,3,Technology,Market Entry,Market Entry,Market Entry,1,1,Easy,,,,,,,,,McKinsey,2,,False,False,True,ceo of your favorite company,,,,manual_override_darden_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Darden 2017\ceo-of-your-favorite-company.pdf,3.5,Easy,difficulty_scale_1_3,,,,,,,,,
Copier Co.,Copier Co.,copier co,Yale/Darden 2017.pdf,Darden,2017.0,67,75,9,Technology,Profitability,Profitability,Profitability,2,2,Medium,,,,,,,,,BCG,1,,False,False,True,copier co,,,,manual_override_darden_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Darden 2017\copier-co.pdf,5.5,Medium,difficulty_scale_1_3,,,,,,,,,
Henry's Furniture,Henry's Furniture,henry s furniture,Yale/Darden 2017.pdf,Darden,2017.0,76,84,9,Retail / CPG,Profitability,Profitability,Profitability,1,1,Easy,,,,,,,,,BCG,1,,False,False,True,henry s furniture,,,,manual_override_darden_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Darden 2017\henry-s-furniture.pdf,3.5,Easy,difficulty_scale_1_3,,,,,,,,,
CDC Pharmaceuticals,CDC Pharmaceuticals,cdc pharmaceuticals,Yale/Darden 2017.pdf,Darden,2017.0,85,90,6,Manufacturing,Operations,Operations,Operations,2,2,Medium,,,,,,,,,McKinsey,1,,False,False,True,cdc pharmaceuticals,,,,manual_override_darden_2017,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Yale\Darden 2017\cdc-pharmaceuticals.pdf,5.5,Medium,difficulty_scale_1_3,,,,,,,,,
